Plantnr,Ozone,Cultivar,Infected
1,0,Lit,0
2,0,Lit,0
3,0,Lit,0
4,0,Lit,0
5,0,Lit,0
6,0,Lit,0
7,0,Lit,0
8,0,Lit,0
9,0,Lit,0
10,0,Lit,0
11,120,Lit,1
12,120,Lit,1
13,120,Lit,1
14,120,Lit,0
15,120,Lit,0
16,120,Lit,0
17,120,Lit,0
18,120,Lit,0
19,120,Lit,0
20,120,Lit,0
21,180,Lit,1
22,180,Lit,1
23,180,Lit,1
24,180,Lit,1
25,180,Lit,1
26,180,Lit,1
27,180,Lit,1
28,180,Lit,0
29,180,Lit,0
30,180,Lit,0
31,270,Lit,1
32,270,Lit,1
33,270,Lit,1
34,270,Lit,1
35,270,Lit,1
36,270,Lit,1
37,270,Lit,1
38,270,Lit,1
39,270,Lit,0
40,270,Lit,0
41,0,Lit,1
42,0,Lit,1
43,0,Lit,0
44,0,Lit,0
45,0,Lit,0
46,0,Lit,0
47,0,Lit,0
48,0,Lit,0
49,0,Lit,0
50,0,Lit,0
51,120,Lit,1
52,120,Lit,1
53,120,Lit,1
54,120,Lit,1
55,120,Lit,0
56,120,Lit,0
57,120,Lit,0
58,120,Lit,0
59,120,Lit,0
60,120,Lit,0
61,180,Lit,1
62,180,Lit,1
63,180,Lit,1
64,180,Lit,1
65,180,Lit,1
66,180,Lit,1
67,180,Lit,1
68,180,Lit,1
69,180,Lit,1
70,180,Lit,0
71,270,Lit,1
72,270,Lit,1
73,270,Lit,1
74,270,Lit,1
75,270,Lit,1
76,270,Lit,1
77,270,Lit,1
78,270,Lit,1
79,270,Lit,1
80,270,Lit,1
81,0,Lit,1
82,0,Lit,1
83,0,Lit,0
84,0,Lit,0
85,0,Lit,0
86,0,Lit,0
87,0,Lit,0
88,0,Lit,0
89,0,Lit,0
90,0,Lit,0
91,120,Lit,1
92,120,Lit,1
93,120,Lit,1
94,120,Lit,1
95,120,Lit,1
96,120,Lit,1
97,120,Lit,0
98,120,Lit,0
99,120,Lit,0
100,120,Lit,0
101,180,Lit,1
102,180,Lit,1
103,180,Lit,1
104,180,Lit,1
105,180,Lit,1
106,180,Lit,1
107,180,Lit,1
108,180,Lit,0
109,180,Lit,0
110,180,Lit,0
111,270,Lit,1
112,270,Lit,1
113,270,Lit,1
114,270,Lit,1
115,270,Lit,1
116,270,Lit,1
117,270,Lit,1
118,270,Lit,1
119,270,Lit,1
120,270,Lit,1
121,0,Pros,0
122,0,Pros,0
123,0,Pros,0
124,0,Pros,0
125,0,Pros,0
126,0,Pros,0
127,0,Pros,0
128,0,Pros,0
129,0,Pros,0
130,0,Pros,0
131,120,Pros,1
132,120,Pros,1
133,120,Pros,1
134,120,Pros,0
135,120,Pros,0
136,120,Pros,0
137,120,Pros,0
138,120,Pros,0
139,120,Pros,0
140,120,Pros,0
141,180,Pros,1
142,180,Pros,1
143,180,Pros,1
144,180,Pros,1
145,180,Pros,1
146,180,Pros,1
147,180,Pros,1
148,180,Pros,1
149,180,Pros,1
150,180,Pros,0
151,270,Pros,1
152,270,Pros,1
153,270,Pros,1
154,270,Pros,1
155,270,Pros,1
156,270,Pros,1
157,270,Pros,1
158,270,Pros,1
159,270,Pros,1
160,270,Pros,0
161,0,Pros,1
162,0,Pros,0
163,0,Pros,0
164,0,Pros,0
165,0,Pros,0
166,0,Pros,0
167,0,Pros,0
168,0,Pros,0
169,0,Pros,0
170,0,Pros,0
171,120,Pros,1
172,120,Pros,1
173,120,Pros,1
174,120,Pros,1
175,120,Pros,1
176,120,Pros,1
177,120,Pros,1
178,120,Pros,0
179,120,Pros,0
180,120,Pros,0
181,180,Pros,1
182,180,Pros,1
183,180,Pros,1
184,180,Pros,1
185,180,Pros,1
186,180,Pros,1
187,180,Pros,1
188,180,Pros,0
189,180,Pros,0
190,180,Pros,0
191,270,Pros,1
192,270,Pros,1
193,270,Pros,1
194,270,Pros,1
195,270,Pros,1
196,270,Pros,1
197,270,Pros,1
198,270,Pros,1
199,270,Pros,1
200,270,Pros,1
201,0,Pros,0
202,0,Pros,0
203,0,Pros,0
204,0,Pros,0
205,0,Pros,0
206,0,Pros,0
207,0,Pros,0
208,0,Pros,0
209,0,Pros,0
210,0,Pros,0
211,120,Pros,1
212,120,Pros,1
213,120,Pros,1
214,120,Pros,1
215,120,Pros,1
216,120,Pros,1
217,120,Pros,0
218,120,Pros,0
219,120,Pros,0
220,120,Pros,0
221,180,Pros,1
222,180,Pros,1
223,180,Pros,1
224,180,Pros,1
225,180,Pros,1
226,180,Pros,1
227,180,Pros,1
228,180,Pros,1
229,180,Pros,0
230,180,Pros,0
231,270,Pros,1
232,270,Pros,1
233,270,Pros,1
234,270,Pros,1
235,270,Pros,1
236,270,Pros,1
237,270,Pros,1
238,270,Pros,1
239,270,Pros,1
240,270,Pros,1
241,0,Strat,1
242,0,Strat,0
243,0,Strat,0
244,0,Strat,0
245,0,Strat,0
246,0,Strat,0
247,0,Strat,0
248,0,Strat,0
249,0,Strat,0
250,0,Strat,0
251,120,Strat,1
252,120,Strat,1
253,120,Strat,0
254,120,Strat,0
255,120,Strat,0
256,120,Strat,0
257,120,Strat,0
258,120,Strat,0
259,120,Strat,0
260,120,Strat,0
261,180,Strat,1
262,180,Strat,1
263,180,Strat,1
264,180,Strat,1
265,180,Strat,0
266,180,Strat,0
267,180,Strat,0
268,180,Strat,0
269,180,Strat,0
270,180,Strat,0
271,270,Strat,1
272,270,Strat,1
273,270,Strat,1
274,270,Strat,1
275,270,Strat,1
276,270,Strat,1
277,270,Strat,1
278,270,Strat,1
279,270,Strat,1
280,270,Strat,0
281,0,Strat,1
282,0,Strat,0
283,0,Strat,0
284,0,Strat,0
285,0,Strat,0
286,0,Strat,0
287,0,Strat,0
288,0,Strat,0
289,0,Strat,0
290,0,Strat,0
291,120,Strat,1
292,120,Strat,1
293,120,Strat,1
294,120,Strat,1
295,120,Strat,1
296,120,Strat,0
297,120,Strat,0
298,120,Strat,0
299,120,Strat,0
300,120,Strat,0
301,180,Strat,1
302,180,Strat,1
303,180,Strat,1
304,180,Strat,1
305,180,Strat,1
306,180,Strat,1
307,180,Strat,1
308,180,Strat,1
309,180,Strat,0
310,180,Strat,0
311,270,Strat,1
312,270,Strat,1
313,270,Strat,1
314,270,Strat,1
315,270,Strat,1
316,270,Strat,1
317,270,Strat,1
318,270,Strat,1
319,270,Strat,1
320,270,Strat,1
321,0,Strat,0
322,0,Strat,0
323,0,Strat,0
324,0,Strat,0
325,0,Strat,0
326,0,Strat,0
327,0,Strat,0
328,0,Strat,0
329,0,Strat,0
330,0,Strat,0
331,120,Strat,1
332,120,Strat,1
333,120,Strat,1
334,120,Strat,1
335,120,Strat,1
336,120,Strat,1
337,120,Strat,0
338,120,Strat,0
339,120,Strat,0
340,120,Strat,0
341,180,Strat,1
342,180,Strat,1
343,180,Strat,1
344,180,Strat,1
345,180,Strat,1
346,180,Strat,1
347,180,Strat,1
348,180,Strat,1
349,180,Strat,0
350,180,Strat,0
351,270,Strat,1
352,270,Strat,1
353,270,Strat,1
354,270,Strat,1
355,270,Strat,1
356,270,Strat,1
357,270,Strat,1
358,270,Strat,1
359,270,Strat,1
360,270,Strat,1